EncryptedUid;nickName;CreatedOn;RankTrader;PositionShared;FollowerCount;UpdateTime;TopEliableTredor
00060D0C02A81C1F0C1F355FE19C8B6E;Junkud;10/07/2024 06:47;2629;VRAI;1;1744243200000;
0006DAA024DCD252CB905B94477EE0B4;SP EXCHANGE;31/12/2024 09:33;2161;VRAI;120;1743465600000;
001C6BBC94906603E58FF50116C6BF27;Anonymous User-3a52526;20/09/2023 22:04;2535;VRAI;49;1695168000000;0
001F4CA252897F7FC8FBCFB3D4218269;Vlaber_;12/05/2024 09:32;6539;VRAI;0;1715472000000;
002DDE719F80FDAF471EEDE38333068D;Lehi_Silveira;30/01/2024 08:43;3485;VRAI;0;1719619200000;
00317CBB6AA1F88FAF448B17EC38E977;???20220510;28/11/2023 23:01;4767;VRAI;8;1719792000000;0
0032F6AA2218D689CDBDCD31915998B4;LeeKang;02/12/2023 00:02;6451;VRAI;35;1735948800000;0
003312F0EF1EA4DF93BC065275DDFE2D;??;26/10/2024 07:43;2394;VRAI;418;1740528000000;
00332058ECC5733700DE82EF9FE065C7;ACK96;12/05/2024 09:32;4596;VRAI;2;1733270400000;
003794A7714F0FBE8849266A7DB03AF2;??;15/05/2024 22:54;1349;VRAI;16;1715731200000;
0039861397D69BA4802EDB0269994424;Captain-slow;12/01/2024 14:08;8235;VRAI;16;1738108800000;
003986B1E5C4C7F5136627D0C27F1329;?????;18/10/2024 05:12;6844;VRAI;10;1740009600000;
003B911FE9B4C099E141668BACFF09F5;Anonymous User-930db6;18/09/2023 16:37;2308;VRAI;2;1694908800000;0
003C686AB3B2906A4A108D7A912BACD9;Anonymous User-718342;20/03/2025 05:09;1211;VRAI;0;1742428800000;
004B33B6E49FCE6A766ACC97F214E981;Anonymous User-0f99d4;22/12/2023 21:59;7824;VRAI;9;1743552000000;
004C34D7FE282856CC9932161A99B115;????;23/01/2024 23:57;2920;VRAI;80;1740614400000;
00522829084420714E7085F862A78C18;Dor***;19/11/2024 22:37;1438;VRAI;13;1738627200000;
007DF9EDEC329495147FF0C99183105A;www-bixrun-com;16/10/2024 05:15;4670;VRAI;4;1732320000000;
007E14EF366059DC29AB330CD93A713B;Anonymous User-a2cc5;06/03/2024 09:58;17284;VRAI;57;1738368000000;
007E70B0AD1FC10582D3BB675C0D0FA1;CryptoBankerNo1;24/02/2024 23:10;4057;VRAI;6;1729814400000;
007EBC94065BCA1D345830249BE5368D;Arshdeep310103;10/07/2024 06:47;5129;VRAI;0;1720569600000;
008034DF95A9B963C2A561B0593695CB;longshortcrypto;03/08/2024 05:18;2267;VRAI;114;1738454400000;
00887F24233F93942034CF02AB98C471;Capital_Driver;28/04/2024 09:43;3446;VRAI;1;1714262400000;
0089E5587AFC6DE69E7199C8B0B61A9C;p2pd;24/03/2024 06:56;6649;VRAI;182;1737590400000;
008C1C2449E69A38C2B7C7CBAD774EDD;momo-ooo;04/04/2024 21:23;3244;VRAI;0;1712188800000;
008E8ACDB58D9EE3D437E0A2A8CFE444;Andyvillajr;31/12/2023 10:18;3486;VRAI;39;1703980800000;
0092E4A2BE99F4D567C0CAAA22300DA2;????;16/05/2024 08:49;3871;VRAI;3;1724284800000;
009A312C522F6478DD191D426B4D0876;alvinmaula_na;04/10/2023 07:51;5044;VRAI;6;1723420800000;0
009E2D7B920C117ACEB8BEA6E9C798EE;Dr7zy;10/12/2023 22:08;5220;VRAI;4;1729900800000;0
00A0F3301524C110700BE7B1E3F2B344;Camaptrader;08/10/2023 00:15;5423;VRAI;1;1732406400000;0
00A35FC115772BD880E925A818C8E213;cat_wet;27/05/2024 05:27;8866;VRAI;7;1731715200000;
00AF0BDFF877072097BD0DE548239F3F;nicholasarifin;28/11/2023 23:01;2463;VRAI;0;1701129600000;0
00B15F2553F91C698242DB21D2E40BB3;BlackPearlOfficial;23/11/2024 17:58;6084;VRAI;0;1741219200000;
00B6A398D11C5EAD176CC9DE8BB5A81D;Ann_lnw;05/08/2024 05:14;4439;VRAI;0;1734048000000;
00B7EB968828863F92CBF9D95CDC5C7E;SoltraderAl;29/02/2024 09:03;642;VRAI;12;1709164800000;
00BAE6434331A8A23CDF82771C28BE17;Anonymous9611;24/04/2024 08:32;4899;VRAI;41;1724198400000;
00BEF57D2BF604593CB8C0BF6850C459;OsoAzul;18/11/2024 07:13;2880;VRAI;12;1731888000000;
00BF92A26AB487EEB13937C09E51410C;Acgozluhamsi;12/05/2024 09:32;221;VRAI;412;1730592000000;
00C0A192AA88F95E0232CA8FCD8A6A1B;AKV11;29/09/2023 08:02;3742;VRAI;1;1695945600000;0
00C1DAAE0E43B7B01D86689B728FA91C;BumidanAir;27/01/2025 05:17;4128;VRAI;3;1737936000000;
00C3B80360B88E9E15A8B7BA3EE835A7;???????;08/08/2024 05:17;3808;VRAI;15;1729555200000;
00C6E3B3301FB702A7E3DCCAD283C346;Anonymous User-70e677;03/08/2024 05:18;3487;VRAI;12;1728000000000;
00CC8B13A4750592FA4D94857CACAF92;Mozi_7;28/09/2023 16:29;2589;VRAI;150;1744156800000;0
00D0F4FC859C31B661E6A6B2E29C5673;Darkv9;13/03/2025 05:14;3710;VRAI;0;1742515200000;
00D3771DC99965E028257E5F439528E9;???;02/02/2024 11:22;579;VRAI;65;1743724800000;
00E4C2D3B9565221BA744C693BD37018;Anonymous User-cf41b2;24/04/2024 08:32;4356;VRAI;6;1713916800000;
00E53B5BBDC04F1A8983CA3FA7CC858E;Anonymous User-4a9813;24/12/2023 12:57;2911;VRAI;18;1703376000000;
00F3C5AE1831BADE11F0125011943C7A;chanweing;12/01/2024 14:08;5167;VRAI;12;1731628800000;
00F49B2828BB1197273ED472B1AB2E94;Yangggggg2000;16/03/2024 01:25;4771;VRAI;13;1719792000000;
00F89E3997B49D75932C9BDE5D3F1307;fafafa8;03/10/2023 10:58;432;VRAI;90;1743897600000;0
00FA338DFC6547134E45CFBF3E358FBA;SKYCOP-INVESTMENT;08/05/2024 08:21;1364;VRAI;0;1715126400000;
010560CA81C98EBA538EB16420A7D573;DODUYDON;08/10/2023 00:15;806;VRAI;1373;1732752000000;0
0106B092197646F945A7287FB1BFCA4D;Anonymous User-f00531;27/03/2024 22:23;7020;VRAI;1;1711497600000;
010A7E2691997B262CE10A8936C5DC79;Anonymous User-487381;16/03/2024 01:25;1390;VRAI;0;1710460800000;
010B6C4FBF7C1F57E64C58E445FBA178;Anonymous User-709e3;03/01/2024 23:30;4128;VRAI;2;1704240000000;
010DB4B9EDBD5B64C5F765353D45C77D;QuesoBandito;10/12/2023 22:08;415;VRAI;1;1702166400000;0
011857C8768419AB6385BA024D55AD48;Hanson-Y;26/12/2023 09:17;4439;VRAI;0;1703548800000;
01193286903B550C64EEAFBA7BF52629;GPCc;19/01/2025 09:20;852;VRAI;47;1737244800000;
011A410121F26E66806C3AB53D2595C2;Anonymous User-d0003;29/12/2023 08:53;3644;VRAI;5;1735171200000;
0120E81ED3E8FD7DBA787054D0C05400;bLxhn;24/04/2024 08:32;4153;VRAI;0;1713916800000;
01435279113C40CE7E503F7FD0C77689;?????;28/08/2024 07:08;4902;VRAI;5;1734307200000;
014601FADEB0CF86E9169C0CC06F6AFD;Anonymous User-a70a517;31/12/2023 10:18;3598;VRAI;3;1703980800000;
0146AA4BB12B573F89492A4E197240E4;Lakr_a;11/03/2024 16:33;4724;VRAI;1;1710115200000;
015D3D04836805AA479A9CE4A772FA44;SSS-Stanley;16/03/2024 10:08;4222;VRAI;0;1710547200000;
0160B4633C4ADBE64A852753BBEDD516;TheLawofAttraction;03/10/2023 10:58;3648;VRAI;11;1696291200000;0
016702D72AC221EC6F8D720169AF5373;Anonymous User-7616718;03/11/2024 21:36;4448;VRAI;40;1730592000000;
0169EA4B06E5AAED546655F39F68697B;Anonymous User-85b7a2;21/08/2024 07:49;4212;VRAI;8;1724198400000;
016BAC759FBD8731F12B82803F12BBA1;Anonymous User-77c2a8;28/03/2024 20:28;2498;VRAI;0;1711584000000;
016D68AB5B067AADE24794BC1DB2E142;????;27/09/2024 08:48;3263;VRAI;0;1727395200000;
0173EE7F2B5D8D3F5EC050D0667E1177;???;08/11/2024 16:01;3070;VRAI;10;1740700800000;
01774DDAAE7C77AD025F8D747E1EC5B4;manuwhale;18/09/2023 16:28;253;VRAI;9;1731196800000;0
01820B3226773B1569F6B022E58D9306;Nikkunemu;06/03/2024 09:58;5812;VRAI;2;1743897600000;
0183E57AE53C0EB5EE367F70F75EC117;???;27/12/2023 11:34;2898;VRAI;3;1703635200000;
01954504A173AAE97640D10AC8E623CB;Anonymous User-9f02912;27/11/2023 12:02;8708;VRAI;0;1701043200000;0
